dev59_HR,dev60_SpO2,dev60_PI,dev59_PI,dev59_SpO2
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,4.0,95.0
96.0,99.0,0.4,4.0,95.0
96.0,99.0,0.4,4.0,95.0
96.0,99.0,0.4,4.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,6.0,96.0
96.0,99.0,0.4,6.0,96.0
96.0,99.0,0.4,6.0,96.0
96.0,99.0,0.4,6.0,96.0
95.0,99.0,0.4,5.0,96.0
95.0,99.0,0.4,5.0,96.0
95.0,99.0,0.4,5.0,96.0
95.0,99.0,0.4,5.0,96.0
95.0,99.0,0.4,6.0,96.0
95.0,99.0,0.4,6.0,96.0
95.0,99.0,0.4,6.0,96.0
95.0,99.0,0.4,6.0,96.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,6.0,95.0
97.0,99.0,0.4,6.0,95.0
97.0,99.0,0.4,6.0,95.0
97.0,99.0,0.4,6.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,6.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,95.0
96.0,98.0,0.4,5.0,95.0
96.0,98.0,0.4,5.0,95.0
96.0,98.0,0.4,5.0,94.0
96.0,98.0,0.4,5.0,94.0
96.0,98.0,0.4,5.0,94.0
96.0,98.0,0.4,5.0,94.0
95.0,98.0,0.4,6.0,94.0
95.0,98.0,0.4,6.0,94.0
95.0,98.0,0.4,6.0,94.0
95.0,98.0,0.4,6.0,94.0
95.0,98.0,0.4,5.0,94.0
95.0,98.0,0.4,5.0,94.0
95.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,6.0,95.0
96.0,99.0,0.4,6.0,95.0
96.0,99.0,0.4,6.0,95.0
96.0,99.0,0.4,6.0,95.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,7.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,5.0,94.0
94.0,99.0,0.4,5.0,94.0
94.0,99.0,0.4,5.0,94.0
94.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,6.0,94.0
95.0,99.0,0.4,6.0,94.0
95.0,99.0,0.4,6.0,94.0
95.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,8.0,94.0
96.0,99.0,0.4,8.0,94.0
96.0,99.0,0.4,8.0,94.0
96.0,99.0,0.4,8.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,6.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
99.0,99.0,0.4,4.0,95.0
100.0,99.0,0.4,5.0,95.0
100.0,99.0,0.4,5.0,95.0
100.0,99.0,0.4,5.0,95.0
100.0,99.0,0.4,5.0,95.0
100.0,99.0,0.4,5.0,95.0
99.0,99.0,0.4,8.0,94.0
99.0,99.0,0.4,8.0,94.0
99.0,99.0,0.4,8.0,94.0
99.0,99.0,0.4,8.0,94.0
99.0,99.0,0.4,5.0,94.0
99.0,99.0,0.4,5.0,94.0
99.0,99.0,0.4,5.0,94.0
99.0,99.0,0.4,5.0,94.0
100.0,99.0,0.4,6.0,94.0
100.0,99.0,0.4,6.0,94.0
100.0,99.0,0.4,6.0,94.0
100.0,99.0,0.4,6.0,94.0
100.0,99.0,0.4,5.0,94.0
100.0,99.0,0.4,5.0,94.0
100.0,99.0,0.4,5.0,94.0
100.0,99.0,0.4,5.0,94.0
99.0,99.0,0.4,7.0,94.0
99.0,99.0,0.4,7.0,94.0
99.0,99.0,0.4,7.0,94.0
99.0,99.0,0.4,7.0,94.0
98.0,99.0,0.4,7.0,94.0
98.0,99.0,0.4,7.0,94.0
98.0,99.0,0.4,7.0,94.0
98.0,99.0,0.4,7.0,94.0
97.0,99.0,0.4,7.0,94.0
97.0,99.0,0.4,7.0,94.0
97.0,99.0,0.4,7.0,94.0
98.0,99.0,0.4,4.0,94.0
98.0,99.0,0.4,4.0,94.0
98.0,99.0,0.4,4.0,94.0
98.0,99.0,0.4,4.0,94.0
98.0,99.0,0.4,4.0,94.0
98.0,99.0,0.4,5.0,94.0
98.0,99.0,0.4,5.0,94.0
98.0,99.0,0.4,5.0,94.0
98.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,6.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,93.0
97.0,99.0,0.4,5.0,93.0
97.0,98.0,0.4,5.0,93.0
97.0,98.0,0.4,5.0,93.0
97.0,98.0,0.4,6.0,93.0
97.0,98.0,0.4,6.0,93.0
97.0,98.0,0.4,6.0,93.0
97.0,98.0,0.4,6.0,93.0
96.0,98.0,0.4,5.0,92.0
96.0,98.0,0.4,5.0,92.0
96.0,98.0,0.4,5.0,92.0
96.0,98.0,0.4,5.0,92.0
96.0,98.0,0.4,5.0,92.0
96.0,98.0,0.4,5.0,92.0
96.0,99.0,0.4,5.0,92.0
96.0,99.0,0.4,5.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
97.0,99.0,0.4,4.0,92.0
98.0,99.0,0.4,5.0,93.0
98.0,99.0,0.4,5.0,93.0
98.0,99.0,0.4,5.0,93.0
98.0,99.0,0.4,5.0,93.0
99.0,99.0,0.4,5.0,93.0
99.0,99.0,0.4,5.0,93.0
99.0,99.0,0.4,5.0,93.0
99.0,99.0,0.4,5.0,93.0
99.0,99.0,0.4,6.0,92.0
99.0,99.0,0.4,6.0,92.0
99.0,99.0,0.4,6.0,92.0
99.0,99.0,0.4,6.0,92.0
100.0,99.0,0.4,5.0,91.0
100.0,99.0,0.4,5.0,91.0
100.0,99.0,0.4,5.0,91.0
